	Similarity	Clost_cluster	CC_bs	Genus	Genus_bs	Species	Species_bs
Seq_0009385	0.08	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0002885	0.39	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000614	0.45	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005013	0.45	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001230	0.47	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001955	0.47	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0004128	0.49	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0007146	0.52	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005158	0.54	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0008132	0.55	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0007404	0.56	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005873	0.61	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0007235	0.63	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0002716	0.78	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005840	0.81	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0004968	0.85	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0004507	0.89	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0002158	0.91	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005494	0.94	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0008546	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000662	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001693	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001559	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000315	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001193	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0001786	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000535	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000876	0.98	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005544	1	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0000548	1	Unclassified	0	Unclassified	0	Unclassified	0
Seq_0005210	0.49	Unclassified	0.1	Unclassified	0	Unclassified	0
Seq_0001948	0.48	Unclassified	0.2	Unclassified	0	Unclassified	0
Seq_0000494	0.8	Unclassified	0.27	Unclassified	0	Unclassified	0
