Seq	Domain	Phylum	Class	Order	Family	Genus
Seq_0001391	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0003865	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0008063	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0006730	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Seq_0005655	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Seq_0009719	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Seq_0007927	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0000644	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0001632	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Seq_0003510	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
Seq_0005210	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0008874	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0001767	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter
Seq_0007722	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Seq_0005486	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Seq_0007092	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0004281	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0004273	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Seq_0006093	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0004390	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Seq_0007120	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Seq_0008463	Bacteria	Firmicutes	Negativicutes	Selenomonadales	unclassified	unclassified
Seq_0006701	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Seq_0000104	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
