"CpG","p_value_cluster2","FDR_pval_cluster2","bonferroni_pval_cluster2","PC10_pValue_C2"
"cg00000721",4.3978936762118e-05,0.00461995856893427,1,0.381716911391242
"cg00001099",3.34033444640219e-15,5.56176422115257e-12,1.55729398192272e-09,0.383502111067496
"cg00002810",0.000412488999379109,0.0244260236138112,1,0.626370429621218
"cg00004421",0.000131909068246747,0.0107568995624012,1,0.332666128768086
"cg00004700",2.64461063296147e-07,6.2395813693438e-05,0.123294127858234,0.579659006316188
"cg00005297",1.23654546708341e-06,0.000235879143070167,0.576488625663489,0.370009875483868
"cg00006090",1.25815963628138e-05,0.00167829855757111,1,0.599349049322933
"cg00009553",1.86550509161168e-05,0.00231061440822314,1,0.30620221384503
"cg00017826",1.76971857291451e-08,5.74553430473469e-06,0.00825058726159902,0.315780673175797
"cg00018198",0.000882215977675438,0.0407302384208645,1,0.574104793663061
"cg00020348",5.08900512688939e-17,1.27555913505483e-13,2.37253999120198e-11,0.752129796165505
"cg00022966",0.000245239065853412,0.0169168546571433,1,0.329362077906781
"cg00023507",0.000685974860823564,0.0345290060343007,1,0.358729880822743
"cg00023702",5.64848318140201e-05,0.00561127998192681,1,0.795510748948332
"cg00024086",9.40850153585442e-07,0.000186582471327798,0.438632809252915,0.994963993045021
"cg00028014",0.000769369972816491,0.0372313894183935,1,0.679189965017275
"cg00028318",4.92404640012525e-05,0.00504424247012962,1,0.351085691901677
"cg00028929",3.36982887289984e-10,1.74366764595534e-07,0.000157104454900576,0.34343993073021
"cg00035074",0.000355446059764545,0.0219894044687856,1,0.598950287163625
"cg00036408",2.80337653517387e-07,6.55774897685336e-05,0.130695937108687,0.986565091211947
"cg00039070",0.000842620271503939,0.0395447105050916,1,0.613096579068933
"cg00041636",3.71809517604909e-08,1.11688752186254e-05,0.0173340943393067,0.11926969626705
"cg00041872",0.000244299734960703,0.0168732940942658,1,0.455416908595811
"cg00045118",0.000217269172532231,0.0154858345294418,1,0.389088377947276
"cg00051662",0.000564398590342879,0.0302780490855947,1,0.204484009900164
"cg00054702",5.75384193276616e-05,0.00569271387833656,1,0.91163217369847
"cg00057393",0.000870565366706256,0.0403926561551311,1,0.926015230643147
"cg00058644",5.73447762024312e-05,0.00567976434428707,1,0.290912788825649
"cg00059662",7.70375845529148e-05,0.0071346077188776,1,0.282588755912531
"cg00060500",0.000899080627316171,0.0412315050344722,1,0.33624001325823
"cg00060933",0.00105238089476701,0.0454754369589759,1,0.33239673944599
"cg00061629",5.32415314697735e-05,0.00536337103392213,1,0.254171036688676
"cg00064080",0.000224647823822009,0.0158565991364474,1,0.986186361739891
"cg00066351",0.000560167807924865,0.0301263019480139,1,0.48313812058149
"cg00066663",0.000965948391450034,0.0431065218368459,1,0.399871275473793
"cg00067538",7.61537565123265e-23,7.88968148219005e-19,3.55035666698552e-17,0.737984609747168
"cg00070181",0.000154910447900224,0.0121035161542924,1,0.97708496701527
"cg00070715",2.21362127063463e-05,0.00265434711667001,1,0.577493081434883
"cg00073549",4.3082203054407e-16,8.62030506600516e-13,2.0085310803792e-10,0.0365361979069132
"cg00082491",0.000160389806410816,0.0123984697822882,1,0.266192252900149
"cg00083139",0.000319928440320108,0.0203984570887852,1,0.279759067102357
"cg00083937",8.15130457005141e-06,0.00116178166056314,1,0.900809974196257
"cg00086710",0.000178825814114174,0.0134359716313223,1,0.435906503762172
"cg00088844",0.0010690596629606,0.0459317331498664,1,0.35589757978891
"cg00091742",3.59527327000679e-08,1.08138629415264e-05,0.0167614875593659,0.306954219610189
"cg00094063",0.000289675450407785,0.0190076427950968,1,0.962780161137305
"cg00094518",0.00120919868265387,0.0495984419590024,1,0.253469079031709
"cg00094734",1.35322597303904e-05,0.00178065517263494,1,0.438874030912713
"cg00096440",0.000620968693041036,0.0322348506195266,1,0.249381583156665
"cg00098819",0.000102269500573194,0.00886277075177099,1,0.3610644824284
"cg00099869",3.29335711414313e-07,7.57844386390699e-05,0.153539272682756,0.979472297164471
"cg00100440",0.00070267260634994,0.0350966673595242,1,0.317056337157194
"cg00100538",0.000313197867798087,0.020098508568242,1,0.490022408978477
"cg00101457",0.00115067485593965,0.0481125537141498,1,0.109309060397471
"cg00104267",0.000532314226872554,0.0291679005861878,1,0.490227293631882
"cg00106211",2.64685626178049e-08,8.2596265793067e-06,0.0123398821094842,0.486603708903474
"cg00106767",0.000581536326845773,0.0308508727130679,1,0.833539414594102
"cg00106808",6.40591210136101e-05,0.00617937900861455,1,0.418381031518227
"cg00107046",0.000305298133904317,0.0197218702659551,1,0.382302808914349
"cg00109356",3.8239021006928e-05,0.00413159214176847,1,0.289124134720523
"cg00111723",0.000614698690775464,0.0320377933960579,1,0.00350598584837172
"cg00118542",2.89235119510581e-05,0.00329611380669539,1,0.792918214062394
"cg00119364",0.000136015388838736,0.0110108696674975,1,0.213717870778995
"cg00119986",0.000590840417428832,0.0311600814670903,1,0.923195072289319
"cg00121374",5.99244609510168e-12,4.87562356291668e-09,2.79373230155126e-06,0.558791559489
"cg00122659",0.000982123097507399,0.0435822032329932,1,0.734167050443742
"cg00124708",6.52383472194509e-10,3.15178286205523e-07,0.00030414704618833,0.889280430195473
"cg00125893",6.14401146927304e-07,0.000130496284422702,0.286439344307832,0.500213279376783
"cg00126173",5.0555133078835e-05,0.00514536438216589,1,0.0337040972525692
"cg00131705",0.000766387422603845,0.0371448917667862,1,0.267790937811868
"cg00135056",0.000328760872632666,0.0208022906717159,1,0.635496309935749
"cg00141688",0.000176927061512751,0.0133147681066664,1,0.154468189340105
"cg00145683",6.47004880247407e-07,0.000136365053442705,0.301639498215263,0.838317158282451
"cg00146756",1.40633620093405e-08,4.70334715854563e-06,0.0065564659390126,0.849945843083169
"cg00150774",0.000158710697595711,0.0122951737479892,1,0.0668363684840017
"cg00151914",0.000550155533410394,0.0297860249768583,1,0.974073072364635
"cg00158539",1.39799818374223e-16,3.13345834252057e-13,6.5175933524428e-11,0.846480335593109
"cg00158683",0.00101254975715362,0.0443540176390897,1,0.668773088754694
"cg00161556",0.00111874178646436,0.0472905512309153,1,0.0514048672919136
"cg00164837",6.98504672452077e-05,0.00659957330652747,1,0.29458009378346
"cg00169412",0.000429987107031878,0.0251333825454144,1,0.506048084211907
"cg00170295",0.000176713586525992,0.0133029976523004,1,0.211096965257642
"cg00173768",0.000606997332198816,0.0317713729928234,1,0.816490401828331
"cg00177797",2.63580437587091e-06,0.000447410851124216,1,0.421944070432342
"cg00178427",0.000450005665625486,0.0259072229396879,1,0.405732844146424
"cg00178877",0.000184959114710036,0.013752727896308,1,0.0714661296153908
"cg00180684",0.000169152854690453,0.0128857162144414,1,0.742278305795349
"cg00180762",0.000335192955458533,0.0211085939439948,1,0.954190575730425
"cg00183468",2.5121829069746e-08,7.88688404631464e-06,0.0117120228087772,0.512381742649802
"cg00183916",0.0002759827560096,0.0183703090657452,1,0.0409585306077541
"cg00185988",0.000513533016781708,0.0284393136511907,1,0.0164703115095586
"cg00186909",1.43600225548628e-08,4.7888209980544e-06,0.00669477175528005,0.5334734403722
"cg00188746",9.27504032834933e-05,0.00822542757549822,1,0.749060597390998
"cg00193200",2.2484546117314e-05,0.0026885093000274,1,0.462497016995277
"cg00202166",0.00075497530728949,0.036775288165931,1,0.555034521797305
"cg00205157",0.00116364390330808,0.0484419377192031,1,0.0267616001631063
"cg00206414",0.000306876711200038,0.0197934770946799,1,0.486097362361819
"cg00211961",1.97980126166279e-08,6.35238242531691e-06,0.00923001166398547,0.234279742254647
"cg00212988",0.000637425829725142,0.0328758165610905,1,0.892049809842692
"cg00214044",5.71900715258178e-06,0.000860636735183344,1,0.266526614216961
"cg00214856",0.000437567431872545,0.0254234639638419,1,0.903010885806624
"cg00215017",2.09329500275926e-06,0.000367298821957618,0.97591296994139,0.0918705275847542
"cg00220294",0.00038248679688532,0.0231455315805362,1,0.778204470936262
"cg00222053",4.35039389055248e-06,0.000683123201522594,1,0.281031513204817
"cg00222175",0.00103407457949294,0.044950571154389,1,0.28396016004969
"cg00223136",1.96891061115496e-14,2.81571732244154e-11,9.17923847115942e-09,0.0961426000507765
"cg00224174",2.46277213406512e-05,0.0028891961093366,1,0.0516753328287439
"cg00224312",4.71783429697904e-05,0.00488451434545925,1,0.411351330932643
"cg00225132",0.000180460070765892,0.0135173697191028,1,0.12078389308348
"cg00229868",1.7905179446959e-07,4.43547067204428e-05,0.0834755580478733,0.13397848777477
"cg00230715",9.13574490325587e-07,0.000182131774477647,0.425916649560201,0.189150381705682
"cg00231945",4.87933856360707e-05,0.00500394094236843,1,0.341356095511601
"cg00234027",3.78077257770922e-08,1.13061590935294e-05,0.0176263020268124,0.496470434703372
"cg00237026",0.000305909587208143,0.0197504227589976,1,0.112696677000013
"cg00243313",0.000383169351076537,0.0231665153671432,1,0.894810484497455
"cg00243527",6.23065896339643e-07,0.000132095889617881,0.290478928466609,0.868644649261404
"cg00246301",0.000159280311520284,0.0123311050736566,1,0.390764138926342
"cg00249383",4.89319717710508e-45,2.28125256274098e-39,2.28125256274098e-39,0.281844762610595
"cg00249621",1.28688977524892e-09,5.69762198698029e-07,0.000599959595229024,0.258323688643895
"cg00252057",9.68606290209505e-05,0.00848821372090758,1,0.0232349047270755
"cg00255699",0.000299749705761335,0.0194677986997553,1,0.135798889040951
"cg00256060",4.39682891581977e-05,0.00461995856893427,1,0.0628844184280673
"cg00266604",0.000192397416557174,0.0141746850783349,1,0.980922941581766
"cg00267156",6.38158298955327e-07,0.000134866338348896,0.297515142397664,0.0630092818616541
"cg00267360",8.28795582574324e-07,0.000167094391172218,0.386391959756393,0.681805619605343
"cg00273359",5.88071334195503e-06,0.000880990194871308,1,0.468130401220441
"cg00280235",7.40128365737228e-12,5.85831078543272e-09,3.45054505261987e-06,0.976495490915209
"cg00281132",1.2351790918813e-06,0.0002357149444318,0.575851609246887,0.520601210896759
"cg00281664",0.00120258383189647,0.0494230787803792,1,0.349683378244067
"cg00281842",0.00112028478688582,0.0473274892663504,1,0.914704543444117
"cg00283187",0.000102546453611811,0.00888130774510659,1,0.0701032888478504
"cg00284511",0.000374352509738487,0.0227960435230761,1,0.601248052642815
"cg00285620",1.38259624958439e-06,0.000258451810313748,0.644578814922487,0.444487668003297
"cg00288933",4.46554845146684e-09,1.72056105620653e-06,0.0020818788780099,0.170392282420425
"cg00296565",5.5131340645007e-09,2.06779784318327e-06,0.00257027271907681,0.338871611624148
"cg00304520",7.21070816619342e-06,0.00104594055712637,1,0.0533840766737619
"cg00304695",0.000857296836630905,0.0399959472539635,1,0.846545756565702
"cg00306893",5.57509301040992e-05,0.00555850842021001,1,0.716308715842543
"cg00307214",0.000322468406121638,0.0204987282723702,1,0.300676668351752
"cg00313498",8.99989354044366e-05,0.00804085893110354,1,0.631091775790922
"cg00314627",0.000371329265527472,0.0226696437958187,1,0.72922242452309
"cg00316151",0.000966625257905379,0.0431243440060104,1,0.327245520029295
"cg00319655",0.000126441789309669,0.0104388702235295,1,0.556135245995411
"cg00319761",1.31234027528657e-06,0.000247802692345515,0.611824847401076,0.235734882509752
"cg00320138",0.000985407172649543,0.0436988197996548,1,0.622364579983834
"cg00320539",4.71925747315263e-05,0.00488490299134328,1,0.0271891507247011
"cg00320765",9.49496832111211e-05,0.00835688066078413,1,0.123964801976196
"cg00321638",0.000517007841734014,0.0285517305007075,1,0.842199265408164
"cg00323962",0.00122220752758771,0.0499091898608035,1,0.492458523624779
"cg00324223",1.00300279678582e-07,2.64784219075154e-05,0.0467608930886722,0.268175816794256
"cg00327796",0.000270216121144376,0.0181079757974125,1,0.77248157045333
"cg00328813",0.000154250001689723,0.0120699461291984,1,0.120559686972002
"cg00332305",1.45965312962729e-05,0.00189760265270921,1,0.0865764546713385
"cg00332822",0.000351990881751255,0.0218509019534793,1,0.540810148928205
"cg00333843",0.000949577956959668,0.0426371751648088,1,0.945306242850618
"cg00334274",4.05969125740138e-05,0.0043340155745863,1,0.601416523827963
"cg00339488",5.52469745817927e-06,0.000836254440675422,1,0.450247794264978
"cg00343839",1.12561475739107e-05,0.00152798957310695,1,0.693248278373569
"cg00345083",0.00011068111150607,0.0094226332692025,1,0.00152206003380259
"cg00345425",0.000379116713843326,0.023009898748224,1,0.350964379560957
"cg00350158",3.36136311216441e-11,2.26786937070775e-08,1.56709773515906e-05,0.567001854625574
"cg00350519",0.000714958996160437,0.0355155293586502,1,0.603253192486382
"cg00352218",0.000763342896799663,0.0370557189793022,1,0.856299022118848
"cg00354775",4.20180916351145e-08,1.23903937274605e-05,0.0195892124831151,0.506838632747391
"cg00355019",4.6965882267316e-16,9.3174114918992e-13,2.18959170059631e-10,0.412478588126789
"cg00361176",0.000116981353151394,0.00985325377982984,1,0.667911992053157
"cg00362381",6.32151051033401e-18,1.92623862321066e-14,2.94714509351231e-12,0.248276392654156
"cg00369414",0.000116044798148314,0.00978851624749904,1,0.207821360217264
"cg00369613",1.72732004644876e-08,5.62747834755295e-06,0.00805292151534828,0.209868025710053
"cg00372908",0.000457099478215621,0.0261862731186319,1,0.783106932605579
"cg00373436",0.000608005796173971,0.0317920338973161,1,0.37011627104983
"cg00378007",6.45937621145672e-06,0.000951475299894795,1,0.0962691080969479
"cg00379630",0.000503055043433545,0.028050327561788,1,0.643448773507306
"cg00381789",0.00107387610782388,0.0460607988143253,1,0.886879887774865
"cg00388391",3.14840851210969e-07,7.27722550333242e-05,0.146781638402215,0.906623263864062
"cg00389446",0.000394009265332875,0.0236592820172043,1,0.2025714543379
"cg00392155",1.96707324680657e-06,0.000348960141293928,0.917067251320443,0.0650407759398299
"cg00393263",6.52895691238252e-05,0.00627470309867026,1,0.241795734788849
"cg00393348",0.000963003152295342,0.0430203848819911,1,0.210892117280011
"cg00401552",5.5640994310534e-08,1.58076369997073e-05,0.0259403323165198,0.6906167502435
"cg00404838",0.00115574072135325,0.0482248926842726,1,0.958243644904422
"cg00407393",6.44373478663269e-05,0.00620559213208271,1,0.773055031745045
"cg00409844",1.64828784649303e-13,1.9115587776758e-10,7.68446628625671e-08,0.0874872626864049
"cg00414166",0.000264687034639579,0.0178429394631486,1,0.937691382456645
"cg00414485",0.000587370509084773,0.0310332522291368,1,0.0777033062403531
"cg00416710",0.000180122394602001,0.013502923535135,1,0.222948913256349
"cg00416945",0.000521996312358994,0.028765884017562,1,0.140134160186439
"cg00417025",1.98693730074154e-05,0.00243578241399268,1,0.437100757078528
"cg00419822",9.12998024695363e-07,0.000182131774477647,0.425647896095201,0.627267938432395
"cg00420742",1.46401015124791e-10,8.32359400735535e-08,6.82534708603139e-05,0.782721746068484
"cg00421693",5.5755680260068e-08,1.58305724350585e-05,0.025993799938366,0.982061736197913
"cg00424353",1.36241986360857e-05,0.00179022661272008,1,0.996889155191371
"cg00426056",0.00044447491118844,0.0257062652115434,1,0.127300794000833
"cg00432369",1.31397763567218e-10,7.56281727838387e-08,6.12588199549094e-05,0.606962975339905
"cg00432461",5.13378086715848e-08,1.47650514762313e-05,0.0239341484429709,0.48030231014865
"cg00435245",2.60734006281193e-06,0.000443475156272706,1,0.604047707044797
