"CpG","PC10_pValue_C4"
"cg00027745",0.240658160546629
"cg00078299",0.355766293458732
"cg00080060",0.311082636594072
"cg00099295",0.324432031482574
"cg00109062",0.0228654165183424
"cg00123762",0.866355523100424
"cg00133595",0.274116090348678
"cg00134041",0.528893786676294
"cg00257704",0.479684063943826
"cg00267286",0.835801762220438
"cg00330929",0.607906841053085
"cg00390945",0.69031540380007
"cg00409917",0.482673969320104
"cg00416386",0.476524822677189
"cg00418150",0.809533958453002
"cg00514307",0.0275653578771801
"cg00533585",0.0796614946213595
"cg00549566",0.738316119180192
"cg00601311",0.465788687737879
"cg00654888",0.411584362874452
"cg00666978",0.21442665953782
"cg00702837",0.47024940667713
"cg00732428",0.762200897346453
"cg00733978",0.92740805801339
"cg00744187",0.0560182752931158
"cg00756748",0.996784593027067
"cg00770471",0.669633683077561
"cg00838919",0.9208245790131
"cg00853068",0.732725187918408
"cg00871453",0.381180670117943
"cg00872932",0.600755835948615
"cg00875476",0.295080833414654
"cg00876541",0.00521083457749624
"cg00887511",0.688157930487831
"cg00927777",0.164247882824932
"cg00946992",0.812277229684329
"cg00968167",0.544426929382382
"cg00988841",0.588622590941865
"cg01019028",0.358963453290841
"cg01025604",0.0701716463084348
"cg01043134",0.441363509002734
"cg01077469",0.396985260024624
"cg01084722",0.395582001767127
"cg01168028",0.116453760330143
"cg01174786",0.454570544051326
"cg01199888",0.772145014609884
"cg01241836",0.70017014816303
"cg01258793",0.231178558345827
"cg01268383",0.701366135882415
"cg01282269",0.825376810600722
"cg01299925",0.183961481587049
"cg01302240",0.375225650898785
"cg01336231",0.967003470554923
"cg01354782",0.386625596761844
"cg01378578",0.10989864131592
"cg01454528",0.129896182610879
"cg01469719",0.297354943269328
"cg01471802",0.171851152537065
"cg01493009",0.193474216387361
"cg01537665",0.824247938842097
"cg01545587",0.852050454610918
"cg01576531",0.243642919747842
"cg01667493",0.676963216310733
"cg01678790",0.0429472851824971
"cg01730970",0.409954921949881
"cg01761409",0.664431301648363
"cg01783736",0.367291618373313
"cg01791034",0.408331946663083
"cg01792403",0.589486059922153
"cg01800926",0.966727791156169
