"CpG","p_value","FDR_pval","bonferroni_pval","PC10_pValue_C3"
"cg00077566",1.53693667549752e-07,0.00183726592447955,0.0716533710547025,0.328582443299208
"cg00290607",1.31756298482726e-05,0.0330247162146953,1,0.0496149190504694
"cg00416386",1.31757020908018e-06,0.00797744272214363,0.61426308960506,0.846459700747294
"cg00432369",3.5503950602984e-10,1.50475102787878e-05,0.000165522613066666,0.315252745378991
"cg00454932",2.59723800689941e-05,0.0463929399984126,1,0.207157610897122
"cg00492691",3.96563149296843e-07,0.00355540979366407,0.184881309270532,0.0805045263458957
"cg00516616",2.87347332971026e-05,0.04853764954967,1,0.0362851250224938
"cg00573529",1.49824370021479e-10,7.76105219148261e-06,6.98494697233435e-05,0.00699420173851283
"cg00703898",3.34752331392215e-06,0.0147230707232107,1,0.342910287338933
"cg00743412",8.96415762955088e-06,0.0264670383370096,1,0.0176176496519732
"cg00756845",1.44143901408091e-05,0.0344621457084947,1,0.462718528880298
"cg00905156",1.54894486237696e-05,0.0354921549294251,1,0.0152254997992458
"cg00954518",1.38793255806494e-05,0.0338220893116517,1,0.00517457463484986
"cg00968267",2.12997155856024e-05,0.041650365264696,1,0.452800850476277
"cg00968382",1.38302165278554e-05,0.0338220893116517,1,0.753951214651034
"cg00971810",1.56392882886937e-05,0.0354921549294251,1,0.337487659835482
"cg01084722",5.78023561740695e-08,0.000917107852068151,0.0269479786695568,0.355896939701653
"cg01103911",6.11948976443846e-06,0.0210303233086304,1,0.570328954513639
"cg01129751",5.08557738532915e-06,0.0194964842965394,1,0.0967994411794617
"cg01332711",2.33558547801952e-07,0.00250817176222203,0.1088870970122,0.00521500508960658
"cg01349309",7.18523023124213e-06,0.0230692636789765,1,0.0882771790795791
"cg01586432",2.58178588013063e-05,0.0462943005149931,1,0.832826418976548
"cg01691530",1.99397143176081e-05,0.0400090021587102,1,0.0929639478171598
"cg01753796",4.95274993839626e-07,0.00391358745089794,0.230901659602978,0.025488969998249
"cg01780104",1.2611458664989e-05,0.0320365370586019,1,0.263743714603321
"cg01852887",2.63269384944082e-05,0.0466248797257533,1,0.954054717152878
"cg02035565",4.93309037787409e-06,0.019281340596872,1,0.808533233979358
"cg02049663",1.16298058613805e-05,0.0305853207565924,1,0.31664909095676
"cg02147989",7.45633837109373e-06,0.0234189106803636,1,0.224411548665276
"cg02258788",7.22446906243888e-06,0.0230692636789765,1,0.423059791053449
"cg02386957",7.01417083586087e-06,0.0228676193791319,1,0.227712618844608
"cg02392915",1.69973200950324e-05,0.0365750526727738,1,0.137190930986108
"cg02406148",1.96299685528614e-05,0.0399636157600915,1,0.585231299102623
"cg02465177",9.56961643933479e-06,0.0275397611763323,1,0.512690241170637
"cg02475416",4.77505561641516e-07,0.00383823086874706,0.22261739038733,0.309159105176402
"cg02546208",1.06708619180306e-05,0.0290927009587319,1,0.071481832451559
"cg02674588",1.48880806920352e-05,0.0352332853368174,1,0.056649881702999
"cg02717347",1.64617907124666e-05,0.0358627803096652,1,0.839837613239788
"cg02749215",1.91446383704362e-05,0.0393189546697915,1,0.467783642612041
"cg02754643",5.99351213645134e-11,3.49278662452855e-06,2.79422929962284e-05,0.0436730352058736
"cg02891200",1.02919428741715e-05,0.028904797562799,1,0.413871834302478
"cg02973735",1.60632778219826e-05,0.0354921549294251,1,0.569260700134096
"cg03075736",2.25486931696208e-06,0.0116648099597047,1,0.940471316516408
"cg03108263",2.70372231725095e-05,0.0470335700672853,1,0.420903974240737
"cg03236627",7.86274703175425e-06,0.0240667602861162,1,0.127748821805101
"cg03259733",2.14076481247465e-09,6.2377738903687e-05,0.000998043822458993,0.232362705423971
"cg03484490",1.71875611629686e-05,0.0365750526727738,1,0.285423088496146
"cg03603987",1.0424322098795e-05,0.0289280522699828,1,0.970079821092443
"cg03744332",5.44286229559848e-06,0.0199804046296746,1,0.0666672902715222
"cg03899909",1.56497899343513e-05,0.0354921549294251,1,0.894212079852231
"cg03933756",2.56194621615488e-06,0.0123048618671481,1,0.249486957714912
"cg04021074",1.52182409732483e-05,0.0354744045294855,1,0.610589650618947
"cg04165099",4.47161587731983e-06,0.0178180133893111,1,0.323811935260487
"cg04270652",2.00813508643938e-05,0.0400090021587102,1,0.688711473229938
"cg04385305",2.38787883282088e-05,0.0447088595490197,1,0.728213399421337
"cg04396251",3.63553181538054e-06,0.0154083422919704,1,0.579844206280932
"cg04402966",2.33264676020065e-06,0.011748391079066,1,0.235481936385339
"cg04562138",1.35503274430505e-21,6.31728460689714e-16,6.31728460689714e-16,0.265438667049532
"cg04594090",1.73347456349246e-05,0.0365750526727738,1,0.83580651645747
"cg04665838",1.19373128307984e-06,0.00732274036517589,0.556528267753368,0.199623549484036
"cg04738496",2.53163437074485e-06,0.012294486753652,1,0.838034691614739
"cg04961920",4.96292622327034e-06,0.019281340596872,1,0.705184883473983
"cg05035406",1.26439489988026e-05,0.0320365370586019,1,0.522921345544919
"cg05068430",2.00082448176928e-06,0.0111914459906668,0.932802380821175,0.707819642229124
"cg05102581",5.28133960175666e-06,0.0198735543364942,1,0.0584066939949736
"cg05171761",2.00406494523981e-05,0.0400090021587102,1,0.0477846371599339
"cg05225062",5.24536956269645e-07,0.00407573083075858,0.244543849845515,0.269736405423044
"cg05231706",2.70253558159237e-05,0.0470335700672853,1,0.202494639814965
"cg05506241",1.16775675602004e-05,0.0305853207565924,1,0.74114743453388
"cg05563042",1.43149367968428e-05,0.0344007854078313,1,0.293702142796051
"cg05706189",6.10672771296301e-06,0.0210303233086304,1,0.575570994675975
"cg05869964",6.36935566326936e-06,0.0216748243388113,1,0.192862464142008
"cg05873146",2.86966322374082e-06,0.0131163021752646,1,0.904343156831322
"cg05911704",3.8430319498085e-09,0.000105391534252251,0.00179165608228827,0.342561672521469
"cg06076184",2.12698433608346e-06,0.0115304562830364,0.991619240341134,0.221006558399409
"cg06079347",8.6131865929396e-06,0.0257406737712037,1,0.224552661146061
"cg06087473",7.02479180741492e-07,0.00503849409806631,0.32750211637431,0.631084419598194
"cg06211323",9.14198969843783e-06,0.0266418687206685,1,0.0415725478153628
"cg06411987",2.53480171960383e-05,0.0459823881282016,1,0.462232551336268
"cg06416186",2.79702965707537e-11,2.15050872355422e-06,1.30400039939545e-05,0.17066240996498
"cg06417570",1.13547170601984e-13,2.64683564295902e-08,5.29367128591805e-08,0.118960174377697
"cg06529894",6.86642827381189e-06,0.0225435961908843,1,0.230956074314313
"cg06536619",1.21246218786482e-05,0.0312298775769209,1,0.974876465494254
"cg06569947",3.28282748512595e-06,0.0145760354191722,1,0.149461907159076
"cg06630010",1.60515546932252e-05,0.0354921549294251,1,0.396218119030069
"cg06756499",1.15723505320029e-05,0.0305853207565924,1,0.365078108600257
"cg06830500",7.07943043296845e-06,0.0229200984911374,1,0.00169495009104476
"cg06907356",5.47484304892648e-08,0.00091157896535606,0.0255242110299697,0.333942925806953
"cg06972153",8.32005995482555e-06,0.0250250763321243,1,0.583310954404345
"cg06999014",1.10869854739047e-06,0.00698493569027519,0.516885241080364,0.344268359078612
"cg07108754",1.23726062729873e-05,0.0316935186699075,1,0.745041612816137
"cg07262585",8.91321785572313e-07,0.00600639451956731,0.415542238329882,0.597714415994504
"cg07276957",2.34124389197257e-05,0.0440124586142194,1,0.426870074801952
"cg07318250",1.6567694959678e-06,0.00977722594867914,0.772400849945652,0.25959935439907
"cg07344627",6.79520199216623e-07,0.00494997550869661,0.316798432556583,0.415601921481205
"cg07487786",2.69416983642447e-05,0.0470335700672853,1,0.799274622489617
"cg07544189",7.18557874235327e-08,0.000957137565683936,0.0334998147989378,0.547596019597072
"cg07575624",1.4142851037302e-05,0.034163339063469,1,0.458628220509278
"cg07644571",3.58735507699532e-06,0.0153436442485405,1,0.00174597076294797
"cg07647796",3.38125044035954e-06,0.0147324241733606,1,0.752755567893027
"cg07891820",4.43098568085929e-09,0.000114764744627096,0.00206576540328773,0.107908186419998
"cg07921682",2.64022535978475e-05,0.0466248797257533,1,0.380154077641243
"cg08038957",1.70749463182458e-05,0.0365750526727738,1,0.135938134052284
"cg08105265",7.10787397140548e-08,0.000957137565683936,0.0331375481633498,0.53681877347733
"cg08109505",2.87200691969905e-05,0.04853764954967,1,0.0892188802448579
"cg08122807",2.26319669029256e-05,0.0430662312565144,1,0.373740094947046
"cg08218914",2.19512445924104e-07,0.00249606531467879,0.102338677901831,0.484802115000607
"cg08236468",2.72951031932955e-05,0.0471304546838633,1,0.146712490574917
"cg08332658",2.39342811244642e-07,0.00250817176222203,0.111583772687553,0.55428725859489
"cg08385610",9.85377331199745e-06,0.0281835447976259,1,0.901369771473029
"cg08405286",2.2360350554157e-06,0.0116648099597047,1,0.693086135922118
"cg08748098",5.77918534559754e-06,0.0204114259150431,1,0.602797025236678
"cg08894790",5.01520199544833e-10,1.79856331315075e-05,0.000233813230709597,0.253355100582557
"cg08973851",2.33138240770906e-05,0.0440045125876774,1,0.385402416771966
"cg09267113",2.26944474873805e-07,0.00250817176222203,0.105803556686442,0.258763628958844
"cg09553402",3.43226645695071e-06,0.014816236228042,1,0.00572522860750644
"cg09675653",2.04280121557721e-05,0.0403547589793658,1,0.0168397623957888
"cg09720515",2.07767717826308e-05,0.0408705400675464,1,0.37405674915479
"cg09736239",5.35760619688669e-06,0.0198735543364942,1,0.349676444043105
"cg09770905",2.56789642114701e-05,0.0462230278998659,1,0.00173676317485128
"cg09994928",6.35983231867463e-08,0.000926565957955307,0.0296501106545698,0.204951856901642
"cg10067427",1.00869392490653e-05,0.0285697584416738,1,0.0632192058390055
"cg10201390",2.34358489508598e-06,0.011748391079066,1,0.629866715335179
"cg10332616",2.19061895375662e-05,0.0421978613200749,1,0.188778276706277
"cg10367296",2.42096847765683e-07,0.00250817176222203,0.112867729299991,0.724917855136864
"cg10424530",6.66361787173126e-07,0.00493117241962216,0.310663862436196,0.0325223769328004
"cg10459672",5.66694401246662e-06,0.0204061550397573,1,0.656570933475865
"cg10464061",6.76740843776565e-06,0.0223760760309382,1,0.109885820729134
"cg10502563",2.26089835801561e-06,0.0116648099597047,1,0.659040950455794
"cg10797798",4.41287611083484e-06,0.0177355392996224,1,0.486539237877448
